pid,guid,creationTime,days,content,nickname,productColor,referenceId,referenceName,referenceTime,score,userClient,userLevelId,userLevelName,userProvince,userRegisterTime
5089273,3c5a22c2-ef5b-4b64-a468-c2d827a47f2d,2017-11-24 14:30:06,21,第二个iphone了，从5到8iphone一路走来变化甚大，之前没用苹果机觉得国产机也不错，当你用了之后就会爱上他的系统，其它的系统都不足为谈，网上都说iphone只是在卖系统，可就是这样依然有不少人为之动然，都说7plus性价比超高，那也不无道理，众所周知8plus的只是外观改变和多了无线充电，不得不说8plus拿到手上的份量足矣，系统真的好，运行速度超快那是没得说，个别软件有点闪退还是要说一下，还有前后屏幕因为是玻璃材质所以必须十分小心，外观设计风格独特魅力十足确实让人心动震撼，下定决心血本入手一台并且第一次到京东买手机，都说京东买电器不错，想着手机应该也有保障吧激活并验证了，而且是新发售的新机觉得应该是正品，快递小哥很准时送达，当天付款第二天就能送达，因为城市不在北上广所以隔天送达也能理解，包装用的红色盒子很高大上啊，唯一遗憾的是没有打白条免单，不过能在发售的第一天抢到实乃欣慰，64G还是觉得不够用，索性256G一步到位，用上两三年没毛病，三年以后的iphone会是啥样期待中！希望苹果,D***-,深空灰色,5089275,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-11-03 00:43:22,5,2,105,PLUS会员,,
5089273,1440fc99-d728-4e64-84b0-5dbd9e3c401c,2018-04-04 13:59:53,1,包装很好，很到位，手机一直是在京东自营购买，一直相信京东相信东哥，发货也快，傍晚下单隔天中午到，查了激活日期，全新未拆封，同时购买了保护壳和钢化膜还有一个充电宝，都很不错，很愉快的一次购物，因为第一次购买并使用iphone系列的手机，日后还会回来追评，只是第一次贴膜，差点就浪费了三十多的一块膜，哈哈,廖世涛,金色,5089273,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2018-04-03 15:36:39,5,4,62,金牌会员,,
5089273,f1cda8d3-7269-40eb-9e21-923372fbb673,2017-11-09 15:30:19,2,啦啦啦...上午下单下午就到了，苹果8ppuls256G大内存，原价7988，1111打折下来竟然6488买到了，还赠送1.5万个金豆子。厉害了东哥。算下来6338就买到256的手机了，真是不敢相信。！！！吃瓜群众表示无法理解，竟然有这么高的优惠活动，二话不说买买买。(?_?)第三个苹果8了，又被东京忽悠了接近两万了！！！！，，1.京东出品，必属精品，苹果系统天下无双，哪个速度真是飕飕的一下就进去了，飕飕的一下就回来了，看视频，浏览网站，看新闻，听音乐，真是高效益高速度。2.只是希望我买了，赶紧回复原价，让后面双11没买到的，郁闷死他们去。3.京东自营快递，真的没得说，跟苹果系统一样飕飕的一下子就来了，售后也是，有问题，飕飕的就回复了，哈哈哈...,清风如梦如幻,银色,5475612,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-11-07 14:26:19,5,2,105,PLUS会员,,
5089273,630a7438-bd13-487a-bf22-b04bf805c97e,2017-11-12 23:52:51,1,说实话 8p我买了两次 第一次是金色的 后来想想还是黑色好看些 金色是2号买的 当时是5788 还送京豆 后来又送40000京豆呢 真的优惠很大 可是我退了 要不然可以申请保价的 再后来我又看到金色降了1300 也就是5388就可以买了(⊙o⊙)哇这么厉害 但是也没办法呀 已经退了 我就期待黑色也降价啊 降价啊 可是就是不降呢 就期待双十一那天能讲很多 零点一过 价格还是5788 送半年碎屏险 当时犹豫好久没买 这优惠幅度好小呀 没买 但是一会就没货了 想买买不成了 好急人 就等 等到了两点突然变为5888了 啊啊啊 好后悔啊 我又等了 终于知道不会降了 我把他买下了 又亏了??? 真的 我以后肯定是 该出手时就出手 风风火火闯九州！！！,艾***g,深空灰色,5089275,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-11-11 10:02:15,5,2,105,PLUS会员,,
5089273,6224f375-3191-43c6-beb1-6fc22d7bc8a2,2017-11-08 22:10:06,0,"自5c以来再一次回归iphone,note5光荣退役，这次能让我如此铁了心的回归iphone并不是在于iphone本身，而是airpods，不得不说airpods配合iphone真的太好用了，除第一次适配花些时间外，之后都是秒连，且十分稳定，体会过以往蓝牙的人都应该懂这种秒连的便捷。至于iphone本身，对我而言它比安卓好的地方就只剩下ios的优化了，其他的地方只能说中规中矩。",一***s,金色,5089273,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-11-08 00:15:28,5,4,62,PLUS会员,,
5089273,b58826e5-a448-4288-99a1-a443bcee9f0b,2018-06-02 21:43:51,1,期待很久自己喜欢的手机终于到手了，先说说手机吧，手机是全新未拆封的，保障的新机，自己3年前*购买的是苹果664G的使用到今年一月底屏幕意外刷坏，一直没有舍得修，直到有一天去修手机店的时候顺便问了一下价格，结果出乎意料，还可以卖*。经过斟酌心狠下来卖掉了跟了自己3年的手机。决定买8P的时候是2.1号，结果一江苏地区没有货，很郁闷，等啊等漫长的两天过去了，上班中不断刷新后台抢购，下班后到家刷新不断抢购，功夫不负有心人最后终于在2.6号上午抢购到了，下午4.30分货送到了。不得不说京东快递实在牛啊！太快了，此时给京东快递88个赞。收到手机打开看了一下做工确实精细。不亏是大公司大品牌。我不是说有多么喜欢苹果手机，只是被他的系统迷惑了没有办法。手机剁手*真心有点贵啊！五星好评送上，支持京东，永远京东铁粉，永远，所有东西基本上都是首选京东订购。信得过。,不了是,红色,6784500,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2018-06-01 00:00:17,5,4,105,PLUS会员,,
5089273,be88d01c-1623-424d-b8a6-67b1991ef73f,2017-11-13 12:52:12,4,第一次买iPhone手机，双十一打折力度挺大的，终于抢到一台。看着还不错。暂时还没发现什么问题 11月9号苹果品牌日抢了几次，终于抢到了。京东物流就是给力，上午下单下班前就收到了 赞一个。,雲***露,金色,5089273,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-11-09 14:02:08,5,4,62,PLUS会员,,
5089273,04b2406f-fc52-48f1-bf73-7fc4148fac68,2018-03-23 22:47:16,3,初中换了两部手机，一部7260，一部5320高中换了两部手机，5630，天语大黄蜂大学三部，三星s4(被花哨的广告骗了花了五千七)，魅族mx5，vivo  x7plus17年毕业到现在，小米mix 2，魅族pro 6 plus（中间买了次mate 10 6g版本，比起mix 2的骁龙差远了，总感觉有卡顿就退了，而且系统也觉得不好看不好用，手机也不好看）如今，终于用上了苹果，后悔了，买晚了无论系统，性能，外观，音乐，拍照等等都无可挑剔，至少现在的iOS 是无敌的用了几种系统，几种手势球各有各的好处，但是感觉还是苹果略胜一筹，要是加个轻触返回功能就更好了双扬声器很棒，不像mate 10的双扬声器上边声音很小，下边大，一点都不协调字体比较小，所以看上去比5.7的屏幕都还大体验最好的还是虽然拿起来就会亮屏，放下两秒钟自己息屏自己有1000xm2，森海塞尔馒头无线，还有个买索尼播放器送的一个降噪耳机，但是苹果送的却用得最多，一是便宜，二是方便，而且戴着耳朵不疼，以前从没用过这种耳机还有好多功能需要去探索哎，不知是喜是忧,A***e,金色,5089273,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2018-03-20 07:32:38,5,2,105,PLUS会员,,
5089273,7c3f6c4a-6372-4611-b129-0f2b5f8e0f74,2017-11-13 14:30:34,2,东西已经收到，京东快递送货一流，服务态度也很好，手机用起来很快，做工问题还是可以，音质各方面都还可以！第一次在网上买苹果手机，希望售后能跟上！,c***1,金色,5089273,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-11-11 16:45:09,5,4,105,钻石会员,,
5089273,821232e1-c225-4103-9b96-152b9e24c2e4,2017-09-28 08:42:38,6,感觉吧，挺好用的，对比了一下10.33的iPhone7p128g，感觉差不太多，我想说两句，为了体验iOS11，更新完了以后，7p用电，真的快，对比起来8p，感觉用的真的快，更新了11.01以后，好多了。其次，8p比7p感觉要厚，要重，可能是玻璃背面的原因吧，不过8p运行的很快，很流畅，拍照更加清晰，不过自拍最好用美颜。要不是怕不习惯，就加钱等iPhoneX了，不等了，直接上8p，我也用过很多手机，感觉这个8p，还是可以领先一个月的，毕竟还有iPhonex，安卓的话，本来考虑了三星s8，因为s8真的好看，双卡双待，很多安卓的功能都不错，就是怕用的久了，卡。要是苹果有双卡就行了，那就美滋滋了，上手体验，可以玩游戏，不怎么发热的，续航真的稳，充电慢是比安卓慢，勇敢的人可以直接换充电头，买也行，用别的手机的快充头也行，或者直接插在插板的US2口上也行，我感觉这不是问题，信号和无线网依旧不如安卓，老问题，习惯就好，缝隙问题是有的，7p都看不出来有，所以不敢放水里试。想起来说的的就那么多了，才起来，脑子还没有醒，就这样吧！,j***實,金色,5089273,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机,2017-09-22 08:01:32,5,2,105,PLUS会员,,
